product,mass_kg,material_id,countryMaking,impact_ecs
chemise,0.2549009442693668,ei-pa,REO,1938.966668252636
maillot-de-bain,0.14,ei-pa,MM,1033.5401255601453
manteau,0.98,ei-coton-organic,RME,7983.902469404493
slip,0.14,ei-pp,RNA,1121.1902231038875
jupe,0.34,ei-laine-par-defaut,RNA,4834.6521815592005
chaussettes,0.03,ei-chanvre,TR,192.5120565520677
tshirt,0.37,ei-pp,PK,2770.093003607548
pull,1.22,ei-pet,CN,8788.021458183895
calecon,0.19,ei-lin,IN,1744.7041459049285
pull,1.25,ei-coton,CN,13735.764456663865
slip,0.04,ei-pet-r,PK,336.17942235042506
jean,1.2840750954117333,ei-pa,CN,11338.493059136244
calecon,0.14,coton-rdp,ROC,1396.8309255063295
jean,1.0396211960859372,ei-pet-r,TR,7838.404455124083
calecon,0.18,ei-pp,PK,1550.5329805071674
chaussettes,0.15,ei-laine-par-defaut,RAS,1827.7889139864487
manteau,3.28,ei-pa,RAF,24751.46895562329
tshirt,0.47,ei-coton,RNA,5450.4330607791335
slip,0.07,ei-coton,TN,811.7797320479228
jean,1.346160836077828,ei-chanvre,REO,10984.57501209556
maillot-de-bain,0.21,ei-acrylique,RAF,1514.0564667682563
chemise,0.154797115345551,ei-acrylique,MA,1237.220621260769
chaussettes,0.19,ei-pet,ROC,1412.466482746231
pull,0.31,ei-acrylique,RAS,2414.30060240063
pantalon,1.02,ei-acrylique,RLA,8631.346221804091
maillot-de-bain,0.07,ei-jute-kenaf,RNA,612.1063170846442
jean,0.6906333911452314,ei-laine-par-defaut,RNA,10678.85298444712
jupe,0.87,ei-acrylique,IN,6973.638401494081
slip,0.04,ei-laine-par-defaut,REE,607.2037277127952
tshirt,0.35,ei-coton,REE,3845.5618016980216
chaussettes,0.03,coton-rdp,RAS,210.33594216696844
manteau,3.0,elasthane,CN,27328.53279954777
chemise,0.4707748741095607,ei-lin,RME,3477.429291294553
jupe,0.16,ei-pp,CN,1212.3064563749454
jean,0.9650391046113352,ei-coton-organic,TR,8712.821331425961
calecon,0.17,ei-acrylique,BD,1641.1512374023469
maillot-de-bain,0.37,coton-rdp,VN,2618.0556380820426
chaussettes,0.17,ei-chanvre,RLA,1165.9005644290369
maillot-de-bain,0.32,ei-pa,MA,2189.993280161543
calecon,0.1,ei-viscose,PK,967.905759503052
chaussettes,0.15,ei-pa,REE,969.477710972316
pull,0.87,ei-laine-nouvelle-filiere,---,7102.920105825833
jupe,0.12,coton-rdpc,---,981.0065664207068
chaussettes,0.17,ei-pa,RLA,1216.1875205976185
maillot-de-bain,0.25,ei-laine-nouvelle-filiere,TN,1818.4183108676857
